iter	RMSE
0	0.9515929895
1	0.9076441018
2	0.8669581499
3	0.8291149682
4	0.7925974549
5	0.7602018446
6	0.7296431337
7	0.7009600256
8	0.6734615231
9	0.6472634814
10	0.6239990201
11	0.6016718078
12	0.5817982162
13	0.5625834127
14	0.5460141827
15	0.5289961525
16	0.5131303483
17	0.4982051145
18	0.4850132487
19	0.4717507335
20	0.460475778
21	0.4495298045
22	0.4399280963
23	0.4310296197
24	0.4229670073
25	0.4152547712
26	0.4084248248
27	0.4018884072
28	0.3959987737
29	0.390676808
30	0.3845230288
31	0.3795422557
32	0.375111215
33	0.3705249744
34	0.3668707742
35	0.362786652
36	0.3591926523
37	0.356279978
38	0.3533447269
39	0.3502864648
40	0.3475688007
41	0.344703356
42	0.3424115645
43	0.3403560843
44	0.3382982765
45	0.3362393554
46	0.3347843098
47	0.3328599667
48	0.3316404133
49	0.3303637772
50	0.3286287727
51	0.3273473278
52	0.3263931464
53	0.3253722979
54	0.3242196685
55	0.322747919
56	0.3215109799
57	0.3199541783
58	0.3188635514
59	0.3181655386
60	0.3169369177
61	0.3160646065
62	0.3152558052
63	0.3143670907
64	0.313364407
65	0.3127441615
66	0.3118526349
67	0.3108620418
68	0.3100904143
69	0.3093366893
70	0.3081434004
71	0.307355921
72	0.306538878
73	0.3058134784
74	0.3050823153
75	0.304047278
76	0.3033616091
77	0.3025673094
78	0.3021391621
79	0.301407203
80	0.3007509301
81	0.300172496
82	0.2994589454
83	0.2989774635
84	0.2983927141
85	0.2977836992
86	0.2972675418
87	0.2969017019
88	0.2964740217
89	0.295895232
90	0.2953201787
91	0.2948952464
92	0.2942841021
93	0.2939267726
94	0.2934665003
95	0.2926162767
96	0.2919797779
97	0.2913581818
98	0.2908543957
99	0.2904661233
100	0.2899526947
101	0.2894158295
102	0.2887251907
103	0.288408503
104	0.2881119086
105	0.2878530166
106	0.2872713193
107	0.2869983315
108	0.2865316581
109	0.2861668533
110	0.2856065485
111	0.2850115112
112	0.2847217488
113	0.2843901328
114	0.2840962908
115	0.2837865638
116	0.2835007056
117	0.2832745415
118	0.282815784
119	0.2822819586
120	0.2819009982
121	0.2814625465
122	0.2808902963
123	0.2805069754
124	0.2797422605
125	0.2795918829
126	0.2791546308
127	0.2787805939
128	0.2781025171
129	0.2778384755
130	0.2770679408
131	0.2767590663
132	0.2764037876
133	0.2761115319
134	0.2756316638
135	0.2753492747
136	0.2750568832
137	0.2745646968
138	0.2742744282
139	0.273772305
140	0.2734837907
141	0.2731069354
142	0.2727835385
143	0.2725656941
144	0.2723197185
145	0.272099054
146	0.2717168794
147	0.271513767
148	0.2709649147
149	0.2706567347
150	0.2704979891
151	0.270042256
152	0.2699468363
153	0.2694122903
154	0.2690738854
155	0.268785724
156	0.2683422384
157	0.2679335175
158	0.2675795521
159	0.2671764006
160	0.2668488471
161	0.2665486382
162	0.2663423808
163	0.266134585
164	0.2657714377
165	0.2654464633
166	0.2652428441
167	0.2649051865
168	0.2645169735
169	0.2639669735
170	0.2635902521
171	0.2632264914
172	0.2630264926
173	0.262689082
174	0.2623236816
175	0.2620866959
176	0.2617993651
177	0.2615104443
178	0.2613425463
179	0.2611272617
180	0.2609488511
181	0.2607028294
182	0.2603363779
183	0.2600111923
184	0.259709036
185	0.2594037499
186	0.259018574
187	0.2587854328
188	0.258637765
189	0.2584222707
190	0.2580569221
191	0.2578155977
192	0.2576099978
193	0.2573029416
194	0.2571388908
195	0.2566597017
196	0.2562479216
197	0.2558412169
198	0.2554770629
199	0.2551104777
200	0.2549549387
201	0.2546217081
202	0.2543243032
203	0.253932902
204	0.2535753396
205	0.2532878748
206	0.2532049391
207	0.2527173664
208	0.2524057258
209	0.2522643836
210	0.2520207644
211	0.2519093544
212	0.2515722323
213	0.2512837985
214	0.2509984439
215	0.2505584414
216	0.2504147036
217	0.2501393409
218	0.249873616
219	0.2497195985
220	0.2495223835
221	0.2493840574
222	0.2491899578
223	0.2488685198
224	0.2486443339
225	0.2483400172
226	0.2479405994
227	0.247664384
228	0.2473631934
229	0.2471170124
230	0.2470057077
231	0.2465451278
232	0.2463935576
233	0.246110044
234	0.2457550529
235	0.2454565643
236	0.2450985469
237	0.2448077387
238	0.2445861855
239	0.2442940588
240	0.2440573061
241	0.2438322208
242	0.243568127
243	0.2433945711
244	0.2432313841
245	0.2429694074
246	0.2428057472
247	0.2426051299
248	0.2421708941
249	0.2420410191
250	0.2419126249
251	0.2416485237
252	0.2413587119
253	0.2410080637
254	0.2408571191
255	0.2407051051
256	0.2403802077
257	0.2401405083
258	0.2399847582
259	0.2398099223
260	0.2396340366
261	0.239410393
262	0.2392137865
263	0.2388685313
264	0.2386363192
265	0.2384601117
266	0.2382387931
267	0.23792419
268	0.2376964767
269	0.2373508866
270	0.2371646942
271	0.2368825452
272	0.2366579667
273	0.2363767406
274	0.2362604291
275	0.2360157005
276	0.2358506151
277	0.235605556
278	0.2353499012
279	0.2350376951
280	0.2348535725
281	0.2347051735
282	0.2344022407
283	0.234206463
284	0.2339331836
285	0.2337427847
286	0.2335763177
287	0.2332985024
288	0.2331200867
289	0.2328917901
290	0.2327103517
291	0.2325383188
292	0.2323378894
293	0.2321480231
294	0.2320135942
295	0.2317812092
296	0.2315842372
297	0.2313765805
