iter	Passed	Remaining
0	12	5264
1	27	5903
2	48	6893
3	63	6797
4	75	6391
5	85	6067
6	96	5821
7	105	5545
8	116	5435
9	125	5284
10	141	5400
11	152	5309
12	166	5356
13	178	5299
14	190	5275
15	200	5177
16	211	5129
17	220	5052
18	232	5026
19	244	5005
20	253	4941
21	265	4932
22	282	4996
23	293	4962
24	304	4939
25	313	4874
26	324	4847
27	335	4823
28	345	4775
29	355	4738
30	367	4734
31	378	4712
32	389	4689
33	399	4657
34	408	4612
35	422	4629
36	433	4602
37	442	4565
38	452	4536
39	465	4538
40	477	4526
41	487	4507
42	498	4487
43	507	4454
44	518	4437
45	527	4401
46	537	4379
47	546	4349
48	556	4329
49	570	4332
50	579	4309
51	591	4299
52	601	4278
53	612	4263
54	624	4259
55	634	4236
56	646	4229
57	656	4212
58	668	4206
59	678	4183
60	689	4169
61	698	4147
62	712	4149
63	724	4144
64	735	4127
65	746	4116
66	757	4104
67	769	4097
68	778	4074
69	789	4059
70	798	4037
71	809	4027
72	820	4014
73	829	3989
74	840	3978
75	852	3968
76	860	3946
77	873	3941
78	882	3921
79	890	3896
80	898	3871
81	907	3853
82	917	3836
83	926	3816
84	936	3802
85	947	3790
86	958	3779
87	967	3761
88	978	3748
89	1067	4032
90	1095	4081
91	1105	4061
92	1132	4103
93	1143	4087
94	1152	4064
95	1160	4037
96	1168	4013
97	1178	3990
98	1187	3971
99	1198	3953
100	1207	3933
101	1216	3911
102	1226	3894
103	1236	3875
104	1245	3856
105	1255	3837
106	1265	3819
107	1274	3801
108	1286	3787
109	1296	3770
110	1305	3752
111	1315	3734
112	1325	3718
113	1335	3701
114	1344	3684
115	1354	3665
116	1363	3647
117	1372	3629
118	1381	3611
119	1392	3596
120	1402	3580
121	1414	3571
122	1424	3555
123	1434	3540
124	1444	3525
125	1454	3509
126	1464	3493
127	1474	3478
128	1484	3464
129	1494	3448
130	1504	3433
131	1513	3417
132	1524	3403
133	1533	3387
134	1542	3371
135	1551	3354
136	1562	3342
137	1574	3330
138	1586	3322
139	1598	3310
140	1607	3294
141	1618	3281
142	1630	3271
143	1639	3255
144	1649	3241
145	1658	3227
146	1668	3211
147	1687	3215
148	1697	3200
149	1708	3188
150	1719	3176
151	1729	3163
152	1738	3147
153	1750	3136
154	1805	3203
155	1891	3321
156	1946	3385
157	1972	3395
158	2054	3502
159	2155	3637
160	2357	3938
161	2389	3952
162	2413	3952
163	2431	3943
164	2446	3928
165	2458	3909
166	2471	3891
167	2502	3902
168	2525	3900
169	2545	3893
170	2572	3896
171	2598	3898
172	2612	3881
173	2624	3860
174	2638	3844
175	2649	3823
176	2663	3806
177	2674	3785
178	2687	3769
179	2700	3750
180	2714	3734
181	2724	3713
182	2736	3693
183	2746	3672
184	2758	3653
185	2770	3634
186	2780	3613
187	2791	3593
188	2803	3574
189	2815	3556
190	2827	3537
191	2837	3517
192	2847	3497
193	2858	3477
194	2871	3460
195	2884	3443
196	2895	3424
197	2906	3405
198	2917	3386
199	2929	3368
200	2940	3349
201	2952	3332
202	2964	3315
203	2976	3297
204	2988	3279
205	2998	3260
206	3008	3240
207	3019	3222
208	3028	3202
209	3038	3182
210	3047	3163
211	3057	3143
212	3067	3124
213	3077	3106
214	3087	3087
215	3097	3068
216	3107	3050
217	3119	3033
218	3128	3014
219	3139	2996
220	3150	2978
221	3159	2960
222	3170	2942
223	3181	2925
224	3192	2908
225	3202	2890
226	3213	2873
227	3222	2855
228	3232	2837
229	3244	2821
230	3253	2802
231	3264	2785
232	3274	2768
233	3284	2750
234	3293	2732
235	3303	2715
236	3312	2697
237	3322	2679
238	3331	2662
239	3342	2645
240	3351	2628
241	3360	2610
242	3371	2594
243	3382	2578
244	3392	2561
245	3403	2545
246	3413	2528
247	3423	2512
248	3434	2496
249	3444	2479
250	3454	2463
251	3465	2448
252	3476	2432
253	3486	2416
254	3498	2400
255	3507	2384
256	3517	2368
257	3528	2352
258	3538	2336
259	3549	2320
260	3560	2305
261	3570	2289
262	3581	2273
263	3590	2257
264	3599	2241
265	3609	2225
266	3619	2209
267	3629	2194
268	3639	2178
269	3649	2162
270	3659	2147
271	3670	2131
272	3679	2116
273	3690	2100
274	3700	2085
275	3710	2070
276	3721	2055
277	3731	2040
278	3742	2025
279	3753	2010
280	3763	1995
281	3773	1980
282	3785	1966
283	3795	1951
284	3806	1936
285	3817	1922
286	3825	1906
287	3834	1890
288	3843	1875
289	3851	1859
290	3861	1844
291	3869	1828
292	3879	1813
293	3888	1798
294	3897	1783
295	3906	1768
296	3914	1752
297	3923	1737
298	3933	1723
299	3942	1708
300	3951	1693
301	3962	1679
302	3972	1665
303	3981	1650
304	3989	1635
305	3999	1620
306	4007	1605
307	4016	1591
308	4025	1576
309	4035	1562
310	4044	1547
311	4053	1532
312	4062	1518
313	4071	1504
314	4080	1489
315	4090	1475
316	4099	1461
317	4108	1446
318	4116	1432
319	4125	1418
320	4134	1403
321	4143	1389
322	4152	1375
323	4160	1361
324	4170	1347
325	4179	1333
326	4188	1319
327	4197	1305
328	4206	1291
329	4215	1277
330	4224	1263
331	4233	1249
332	4243	1236
333	4252	1222
334	4261	1208
335	4271	1195
336	4280	1181
337	4289	1167
338	4297	1153
339	4306	1139
340	4315	1126
341	4324	1112
342	4333	1099
343	4341	1085
344	4350	1071
345	4359	1058
346	4368	1044
347	4377	1031
348	4387	1018
349	4395	1004
350	4403	991
351	4412	977
352	4421	964
353	4429	950
354	4437	937
355	4446	924
356	4455	911
357	4465	897
358	4474	884
359	4481	871
360	4489	858
361	4498	845
362	4507	831
363	4516	818
364	4524	805
365	4534	792
366	4541	779
367	4550	766
368	4559	753
369	4566	740
370	4575	727
371	4584	714
372	4593	701
373	4602	689
374	4611	676
375	4620	663
376	4629	650
377	4637	638
378	4647	625
379	4655	612
380	4664	599
381	4673	587
382	4683	574
383	4692	562
384	4701	549
385	4710	536
386	4719	524
387	4727	511
388	4736	499
389	4745	486
390	4753	474
391	4763	461
392	4771	449
393	4780	436
394	4788	424
395	4797	411
396	4807	399
397	4818	387
398	4826	374
399	4835	362
400	4843	350
401	4852	337
402	4861	325
403	4870	313
404	4879	301
405	4888	288
406	4896	276
407	4905	264
408	4914	252
409	4922	240
410	4930	227
411	4938	215
412	4946	203
413	4955	191
414	4965	179
415	4973	167
416	4982	155
417	4990	143
418	5000	131
419	5010	119
420	5018	107
421	5027	95
